number,value,datetime_start,datetime_complete,duration,params_order_size,params_spread,params_wait_time,state
0,262.399999999996,2025-04-21 21:14:05.749624,2025-04-21 21:14:11.500135,0 days 00:00:05.750511,8,0.00018,4519,COMPLETE
1,296.79999999999563,2025-04-21 21:14:11.503664,2025-04-21 21:14:24.363879,0 days 00:00:12.860215,4,1e-05,3906,COMPLETE
2,279.9999999999932,2025-04-21 21:14:24.366760,2025-04-21 21:14:29.434108,0 days 00:00:05.067348,10,0.00012,7117,COMPLETE
3,96.59999999999263,2025-04-21 21:14:29.435069,2025-04-21 21:14:33.201993,0 days 00:00:03.766924,6,0.00018,4658,COMPLETE
4,122.99999999999591,2025-04-21 21:14:33.203289,2025-04-21 21:14:37.176239,0 days 00:00:03.972950,3,0.00015000000000000001,4915,COMPLETE
5,152.89999999999986,2025-04-21 21:14:37.177357,2025-04-21 21:14:44.841226,0 days 00:00:07.663869,1,0.00019,505,COMPLETE
6,281.59999999998763,2025-04-21 21:14:44.844192,2025-04-21 21:14:55.933599,0 days 00:00:11.089407,8,0.00011,3409,COMPLETE
7,3075.2000000000007,2025-04-21 21:14:55.936825,2025-04-21 21:15:07.826628,0 days 00:00:11.889803,8,9e-05,80,COMPLETE
8,1824.000000000001,2025-04-21 21:15:07.830632,2025-04-21 21:15:20.371741,0 days 00:00:12.541109,10,7.000000000000001e-05,838,COMPLETE
9,335.6999999999873,2025-04-21 21:15:20.376238,2025-04-21 21:15:32.736119,0 days 00:00:12.359881,9,0.00017,3418,COMPLETE
10,578.3999999999937,2025-04-21 21:15:32.738998,2025-04-21 21:15:44.528546,0 days 00:00:11.789548,6,6e-05,1916,COMPLETE
11,3958.000000000004,2025-04-21 21:15:44.533008,2025-04-21 21:15:56.822801,0 days 00:00:12.289793,10,6e-05,163,COMPLETE
12,2428.800000000021,2025-04-21 21:15:56.826763,2025-04-21 21:16:09.173070,0 days 00:00:12.346307,8,6e-05,128,COMPLETE
13,701.399999999994,2025-04-21 21:16:09.176303,2025-04-21 21:16:21.264571,0 days 00:00:12.088268,7,3.0000000000000004e-05,1814,COMPLETE
14,664.9999999999932,2025-04-21 21:16:21.269601,2025-04-21 21:16:33.540998,0 days 00:00:12.271397,10,8e-05,1839,COMPLETE
15,1390.499999999996,2025-04-21 21:16:33.544553,2025-04-21 21:16:45.626439,0 days 00:00:12.081886,9,9e-05,1193,COMPLETE
16,234.5000000000016,2025-04-21 21:16:45.629606,2025-04-21 21:16:57.287669,0 days 00:00:11.658063,5,0.00013000000000000002,2664,COMPLETE
17,275.7999999999895,2025-04-21 21:16:57.292653,2025-04-21 21:17:08.903844,0 days 00:00:11.611191,7,4e-05,6018,COMPLETE
18,3604.500000000056,2025-04-21 21:17:08.906597,2025-04-21 21:17:17.357550,0 days 00:00:08.450953,9,0.0001,162,COMPLETE
19,1310.399999999995,2025-04-21 21:17:17.358817,2025-04-21 21:17:20.954805,0 days 00:00:03.595988,9,0.00014000000000000001,1324,COMPLETE
20,79.89999999999964,2025-04-21 21:17:20.956019,2025-04-21 21:17:24.603198,0 days 00:00:03.647179,1,4e-05,2473,COMPLETE
21,2507.4000000000024,2025-04-21 21:17:24.604733,2025-04-21 21:17:28.409913,0 days 00:00:03.805180,9,9e-05,346,COMPLETE
22,2204.3000000000357,2025-04-21 21:17:28.411203,2025-04-21 21:17:32.303346,0 days 00:00:03.892143,7,0.0001,90,COMPLETE
23,1160.0000000000073,2025-04-21 21:17:32.304987,2025-04-21 21:17:35.966507,0 days 00:00:03.661520,8,6e-05,1046,COMPLETE
24,1535.9999999999968,2025-04-21 21:17:35.967775,2025-04-21 21:17:39.535653,0 days 00:00:03.567878,10,0.00011,721,COMPLETE
25,631.8000000000065,2025-04-21 21:17:39.536802,2025-04-21 21:17:43.153287,0 days 00:00:03.616485,9,8e-05,2488,COMPLETE
26,1311.999999999989,2025-04-21 21:17:43.154524,2025-04-21 21:17:46.746943,0 days 00:00:03.592419,10,0.00015000000000000001,1426,COMPLETE
27,2606.800000000011,2025-04-21 21:17:46.748195,2025-04-21 21:17:50.401877,0 days 00:00:03.653682,7,0.0001,95,COMPLETE
28,1313.599999999993,2025-04-21 21:17:50.403062,2025-04-21 21:17:53.949001,0 days 00:00:03.545939,8,2e-05,755,COMPLETE
29,420.79999999998654,2025-04-21 21:17:53.950211,2025-04-21 21:17:57.654968,0 days 00:00:03.704757,8,5e-05,5622,COMPLETE
30,418.4999999999991,2025-04-21 21:17:57.656863,2025-04-21 21:18:01.317018,0 days 00:00:03.660155,5,8e-05,1751,COMPLETE
31,2901.5000000000305,2025-04-21 21:18:01.318230,2025-04-21 21:18:04.982911,0 days 00:00:03.664681,7,0.0001,73,COMPLETE
32,1355.400000000002,2025-04-21 21:18:04.983962,2025-04-21 21:18:08.594048,0 days 00:00:03.610086,6,0.00012,517,COMPLETE
33,1010.6999999999894,2025-04-21 21:18:08.595315,2025-04-21 21:18:12.198041,0 days 00:00:03.602726,9,9e-05,935,COMPLETE
34,1819.2999999999895,2025-04-21 21:18:12.199184,2025-04-21 21:18:15.830945,0 days 00:00:03.631761,7,0.00013000000000000002,469,COMPLETE
35,100.79999999999836,2025-04-21 21:18:15.832965,2025-04-21 21:18:19.424661,0 days 00:00:03.591696,3,0.00011,3850,COMPLETE
36,1127.1999999999862,2025-04-21 21:18:19.425595,2025-04-21 21:18:23.055252,0 days 00:00:03.629657,8,7.000000000000001e-05,1433,COMPLETE
37,249.99999999999318,2025-04-21 21:18:23.056448,2025-04-21 21:18:26.648561,0 days 00:00:03.592113,10,0.00012,7169,COMPLETE
38,1116.5999999999885,2025-04-21 21:18:26.649742,2025-04-21 21:18:30.263552,0 days 00:00:03.613810,6,7.000000000000001e-05,538,COMPLETE
39,4808.699999999975,2025-04-21 21:18:30.264687,2025-04-21 21:18:33.915149,0 days 00:00:03.650462,9,1e-05,66,COMPLETE
40,884.6999999999873,2025-04-21 21:18:33.916304,2025-04-21 21:18:37.514012,0 days 00:00:03.597708,9,2e-05,4258,COMPLETE
41,2780.800000000012,2025-04-21 21:18:37.515182,2025-04-21 21:18:41.155951,0 days 00:00:03.640769,8,1e-05,109,COMPLETE
42,1411.999999999996,2025-04-21 21:18:41.157167,2025-04-21 21:18:44.736816,0 days 00:00:03.579649,10,0.0001,941,COMPLETE
43,2510.9999999999727,2025-04-21 21:18:44.738055,2025-04-21 21:18:48.356095,0 days 00:00:03.618040,9,5e-05,448,COMPLETE
44,3152.800000000043,2025-04-21 21:18:48.356943,2025-04-21 21:18:52.009963,0 days 00:00:03.653020,8,9e-05,82,COMPLETE
45,579.0000000000009,2025-04-21 21:18:52.011203,2025-04-21 21:18:55.612658,0 days 00:00:03.601455,10,8e-05,3006,COMPLETE
46,757.5999999999785,2025-04-21 21:18:55.613770,2025-04-21 21:18:59.187000,0 days 00:00:03.573230,8,1e-05,1576,COMPLETE
47,539.0999999999967,2025-04-21 21:18:59.188280,2025-04-21 21:19:02.836512,0 days 00:00:03.648232,9,0.00016,2157,COMPLETE
48,1208.6999999999975,2025-04-21 21:19:02.837755,2025-04-21 21:19:06.467387,0 days 00:00:03.629632,9,5e-05,1099,COMPLETE
49,1865.9999999999718,2025-04-21 21:19:06.468508,2025-04-21 21:19:10.088674,0 days 00:00:03.620166,10,7.000000000000001e-05,674,COMPLETE
50,2513.600000000006,2025-04-21 21:19:10.089832,2025-04-21 21:19:13.759537,0 days 00:00:03.669705,8,0.0002,335,COMPLETE
51,1946.000000000016,2025-04-21 21:19:13.760843,2025-04-21 21:19:17.399300,0 days 00:00:03.638457,7,0.00012,321,COMPLETE
52,1188.7999999999865,2025-04-21 21:19:17.400830,2025-04-21 21:19:21.061240,0 days 00:00:03.660410,8,9e-05,753,COMPLETE
53,3366.300000000019,2025-04-21 21:19:21.062462,2025-04-21 21:19:24.750051,0 days 00:00:03.687589,7,0.0001,71,COMPLETE
54,187.19999999999754,2025-04-21 21:19:24.751167,2025-04-21 21:19:28.352160,0 days 00:00:03.600993,9,0.00013000000000000002,6701,COMPLETE
