date,time,tickersymbol,price,open_price,close_price,high_price,low_price,total_quantity
2022-03-01,09:00:12.996659,VN30F2203,1518.00,1517.80,1515.60,1518.20,1512.10,8
2022-03-01,09:00:20.340266,VN30F2203,1517.40,1517.80,1515.60,1518.20,1512.10,4
2022-03-01,09:00:51.477739,VN30F2203,1517.50,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:00:54.675526,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:00:56.158397,VN30F2203,1517.40,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:00:57.735941,VN30F2203,1517.60,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:00:59.393625,VN30F2203,1517.30,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:01:02.508297,VN30F2203,1517.50,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:01:08.744340,VN30F2203,1517.60,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:01:14.485430,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:01:16.455176,VN30F2203,1517.70,1517.80,1515.60,1518.20,1512.10,24
2022-03-01,09:01:18.651862,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:01:22.173688,VN30F2203,1517.70,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:01:26.497788,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:01:31.661763,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:01:34.078918,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,13
2022-03-01,09:01:36.878533,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,5
2022-03-01,09:01:45.534801,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:01:47.705833,VN30F2209,1508.00,1508.00,1502.20,1508.00,1501.70,1
2022-03-01,09:01:56.522061,VN30F2203,1518.00,1517.80,1515.60,1518.20,1512.10,7
2022-03-01,09:01:57.977044,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:01:58.823707,VN30F2203,1518.00,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:02:31.863295,VN30F2203,1517.80,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:02:35.698744,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,5
2022-03-01,09:02:45.079499,VN30F2203,1518.00,1517.80,1515.60,1518.20,1512.10,5
2022-03-01,09:02:49.438224,VN30F2203,1517.90,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:03:25.148874,VN30F2203,1517.40,1517.80,1515.60,1518.20,1512.10,13
2022-03-01,09:03:29.442943,VN30F2203,1517.60,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:03:33.504640,VN30F2203,1517.40,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:03:41.601678,VN30F2203,1517.30,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:03:55.076615,VN30F2203,1517.00,1517.80,1515.60,1518.20,1512.10,6
2022-03-01,09:03:59.097291,VN30F2203,1517.10,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:04:05.294935,VN30F2203,1516.80,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:04:11.652343,VN30F2203,1516.80,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:04:15.525182,VN30F2206,1509.80,1509.80,1506.30,1511.00,1505.70,1
2022-03-01,09:04:45.539315,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:04:47.782691,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:04:51.530153,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,5
2022-03-01,09:04:55.733704,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:04:59.874382,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,5
2022-03-01,09:05:04.481542,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:05:05.022521,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,6
2022-03-01,09:05:17.115147,VN30F2203,1516.10,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:05:21.246718,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:05:27.552340,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,2
2022-03-01,09:05:31.774186,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:05:39.974426,VN30F2203,1516.20,1517.80,1515.60,1518.20,1512.10,3
2022-03-01,09:05:40.963270,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:05:53.487304,VN30F2203,1516.70,1517.80,1515.60,1518.20,1512.10,1
2022-03-01,09:05:59.563974,VN30F2203,1516.60,1517.80,1515.60,1518.20,1512.10,20
2022-03-01,09:06:03.831463,VN30F2203,1516.50,1517.80,1515.60,1518.20,1512.10,1
